:Interfaces
:$Location,$InstanceName,$InstanceTemplateIdentifier,$InterfacePath,$InterfaceIdentifier
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\DigitalInput\DISignal,DINPUTSignalExt
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\DigitalInput\Logic,PVToVar
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\DigitalInput\Logic,AlarmSTDI
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\Alarm\Group1,DisCond
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\Alarm\Group1,CondCH
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,Control\Alarm\Group1,Cond01
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,,NullInterfaceRoleA
Root\PC10\Emergency,D10SHUTDOWN,$AlarmSummaryGP,,NullInterfaceRoleB
Root\PC10\D10\Water,PHWATERD10,$SequenceGP,Control\SEQCTLGP\Logic,SEQCTLGPName
Root\PC10\D10\Water,HV1001,$ValveGP,Control,ValveOP
Root\PC10\D10\Water,HV1001,$ValveGP,Control,ILCK
Root\PC10\D10\Water,HV1001,$ValveGP,Control\Valve\Logic,RSP
Root\PC10\D10\Water,HV1001,$ValveGP,Control\Valve\Logic,Name
Root\PC10\D10\Water,HV1001,$ValveGP,Control\Valve\Logic,OpenPOS
Root\PC10\D10\Water,HV1001,$ValveGP,Control\Valve\Logic,ClosePOS
Root\PC10\D10\Water,HV1001,$ValveGP,Control\OpenPosition,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\OpenPosition,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\ClosePosition,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\ClosePosition,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\ExternalControl,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\ExternalControl,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\OP,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\OP,DOUTPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\Logic,PBLightSignalToVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\Logic,Name
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\Logic,VALVELPST
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\LPMode,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\LPMode,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\ZeroMode,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\ZeroMode,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\CSMode,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\CSMode,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\OffPB,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\OffPB,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\OnPB,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\OnPB,DINPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\PBLight,BoolVar
Root\PC10\D10\Water,HV1001,$ValveGP,Control\LocalPanel\PBLight,DOUTPUTSignalExt
Root\PC10\D10\Water,HV1001,$ValveGP,Control\Maintenance\Logic,Name
Root\PC10\D10\Water,HV1001,$ValveGP,,NullInterfaceRoleA
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control,ILCK
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control,OPQ
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,RSP
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,SPRange
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,RSPRangedwTrack
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,CHOUT
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,OP
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\Logic,AORange
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\AOSignal,IntVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\AnalogOutput\AOSignal,AOUTPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock,DisFirstCond
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock,Rearm
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,DisCond
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,BypassCond
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,ILCKChain
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,PosChain
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,ILCK
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\Interlock\Group1,Name
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\LocalMode,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\LocalMode,DINPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\ZeroMode,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\ZeroMode,DINPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\CS Mode,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\CS Mode,DINPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\OpenPB,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\OpenPB,DINPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\ClosePB,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\ClosePB,DINPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\PBLight,BoolVar
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,Control\LocalPanel\PBLight,DOUTPUTSignalExt
Root\PC10\D10\Water,FCV1004,$AnalogOutputGP,,NullInterfaceRoleA
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control,PVQ
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\Logic,Name
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\AnalogInput,IntVar
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\AnalogInput,AINPUTSignalExt
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\AnalogInput,RealVar
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\Logic,ExtPVQ
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,HHWATCH
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,HWATCH
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,DWATCH
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,LWATCH
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,LLWATCH
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogAlarms\Logic,Name
Root\PC10\D10\Water,FI1004,$AnalogInputGP,Control\AnalogInput\Logic,PVLoop
Root\PC10\D10\Water,FI1004,$AnalogInputGP,,NullInterfaceRoleA
Root\PC10\D10\Water,FIC1004,$PIDGP,Control,ILCK
Root\PC10\D10\Water,FIC1004,$PIDGP,Control,OUT
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,PV
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,PVRange
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,RSP
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,ILCKOP
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,Name
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,OUTRange
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,OUTRangedwTrack
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Interlocks\Group1,DisCond
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Interlocks\Group1,BypassCond
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Interlocks\Group1,ILCK
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Interlocks\Group1,Name
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\LimitAlarm,HHWATCH
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\LimitAlarm,HWATCH
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\LimitAlarm,LWATCH
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\LimitAlarm,LLWATCH
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\LimitAlarm,Name
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\DeviationAlarm,DWATCH
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\Alarms\DeviationAlarm,Name
Root\PC10\D10\Water,FIC1004,$PIDGP,Supervision\Data\DeviationAlarm,OptimalRangeHi
Root\PC10\D10\Water,FIC1004,$PIDGP,Supervision\Data\DeviationAlarm,OptimalRangeLo
Root\PC10\D10\Water,FIC1004,$PIDGP,Control\PID\Logic,PVLoop
Root\PC10\D10\Water,FIC1004,$PIDGP,,NullInterfaceRoleA
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,AcalcName
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,Total
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,Average
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,Min
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,Max
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,Control\Logic,ROC
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,,NullInterfaceRoleA
Root\PC10\D10\Water,FQ1004,$AnalogCalcGP,,NullInterfaceRoleB
Root\PC10\D10\Agitation,AG1001MEA,$PM82xxEMGP,Control\Logic,StatisticConnector
Root\PC10\D10\Agitation,AG1001MEA,$PM82xxEMGP,,NullInterfaceRoleA
Root\PC10\D10\Agitation,RemSP_AG1001,$SPBoolGP,,NullInterfaceRoleA
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control,ILCK
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control,DEV1S1D
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control,MotorSP
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control,MotorOP
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Motor\Logic,RStop
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Motor\Logic,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Running,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Running,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Stopped,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Stopped,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Fail,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Fail,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\ExternalControl,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\ExternalControl,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\OP,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\OP,DOUTPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Failures\Group1,DisCond
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Failures\Group1,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group1,DisCond
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group1,BypassCond
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group1,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\Logic,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\Logic,MOTORLPST
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\LPMode,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\LPMode,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\ZeroMode,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\ZeroMode,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\CSMode,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\CSMode,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\OffPB,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\OffPB,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\OnPB,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\OnPB,DINPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\PBLight,BoolVar
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\LocalPanel\PBLight,DOUTPUTSignalExt
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control,MotorLOP
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Motor\Logic,Running
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Motor\Logic,Stopped
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group2,DisCond
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group2,BypassCond
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group2,Cond01
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Interlocks\Group2,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Maintenance\Logic,Name
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Maintenance\Logic,RunningHours
Root\PC10\D10\Agitation,AG1001,$MotorGP,Control\Maintenance\Logic,OperationsNumber
Root\PC10\D10\Discharge,V1001,$HandValveGP,Control\Logic,Name
Root\PC10\D10\Discharge,V1001,$HandValveGP,Control\OpenPosition,BoolVar
Root\PC10\D10\Discharge,V1001,$HandValveGP,Control\OpenPosition,DINPUTSignalExt
Root\PC10\D10\Discharge,V1001,$HandValveGP,Control\ClosePosition,BoolVar
Root\PC10\D10\Discharge,V1001,$HandValveGP,Control\ClosePosition,DINPUTSignalExt
Root\PC10\D10\Discharge,V1001,$HandValveGP,,NullInterfaceRoleA
Root\PC10\D10\Discharge,V1001,$HandValveGP,,NullInterfaceRoleB
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control,PV
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control,PVQ
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\Logic,Name
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\AnalogInput,IntVar
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\AnalogInput,AINPUTSignalExt
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\AnalogInput,RealVar
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\Logic,ExtPVQ
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,HHWATCH
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,HWATCH
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,DWATCH
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,LWATCH
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,LLWATCH
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogAlarms\Logic,Name
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,Control\AnalogInput\Logic,PVLoop
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,,NullInterfaceRoleA
Root\PC10\D10\Discharge,FI1001,$AnalogInputGP,,NullInterfaceRoleB
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,OPSignal
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,DevVS
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,PV
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,PVRange
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,RSP
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Running,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Running,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Fail,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Fail,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\PowerRemoval,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\PowerRemoval,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ExternalControl,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ExternalControl,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\CSDISignal,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\CSDISignal,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,FWDILCK
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,FWDILCKSP
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,REVILCK
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,REVILCKSP
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,OPDOSignal
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control,DirectionSignal
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,RStart
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,RStop
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,ReverseEn
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,RSPREV
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,Name
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\OP,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\OP,DOUTPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Direction,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Failures\Group1,DisCond
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Failures\Group1,CondCH
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Failures\Group1,Name
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ForwardInterlocks\Group1,DisCond
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ForwardInterlocks\Group1,BypassCond
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ForwardInterlocks\Group1,ILCK
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ForwardInterlocks\Group1,Name
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ReverseInterlocks\Group1,DisCond
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ReverseInterlocks\Group1,BypassCond
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ReverseInterlocks\Group1,ILCK
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\ReverseInterlocks\Group1,Name
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\Logic,MotorVSLPName
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\LocalMode,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\LocalMode,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\Zeromode,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\Zeromode,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\OFFPB,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\OFFPB,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\ForwordPB,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\ForwordPB,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\ReversePB,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\ReversePB,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\IncSPPB,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\IncSPPB,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\DecSPPB,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\DecSPPB,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS1,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS1,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS2,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS2,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS3,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\SelectS3,DINPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\PBLight,BoolVar
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\LocalPanel\PBLight,DOUTPUTSignalExt
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Maintenance\Logic,Name
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Maintenance\Logic,RunningHours
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\Maintenance\Logic,OperationsNumber
Root\PC10\D10\Discharge,P1001,$MotorVSGP,,NullInterfaceRoleA
Root\PC10\D10\Discharge,P1001,$MotorVSGP,,NullInterfaceRoleB
Root\PC10\D10\Discharge,P1001,$MotorVSGP,Control\MotorVS\Logic,SPEn
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control,PV
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control,PVQ
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\Logic,Name
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\AnalogInput,IntVar
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\AnalogInput,AINPUTSignalExt
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\AnalogInput,RealVar
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\Logic,ExtPVQ
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,HHWATCH
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,HWATCH
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,DWATCH
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,LWATCH
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,LLWATCH
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogAlarms\Logic,Name
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,Control\AnalogInput\Logic,PVLoop
Root\PC10\D10\Discharge,FI1002,$AnalogInputGP,,NullInterfaceRoleA
